iter	Logloss
0	0.6850730861
1	0.6778039105
2	0.6699943368
3	0.6608883932
4	0.6515972538
5	0.6433892794
6	0.6356967595
7	0.6271243857
8	0.6186910133
9	0.6114122922
10	0.6047645464
11	0.5979640734
12	0.590509284
13	0.5838610505
14	0.578221848
15	0.5715015011
16	0.5649443674
17	0.5592168869
18	0.5525536385
19	0.5464587974
20	0.5405264031
21	0.5348500291
22	0.5287881442
23	0.5233825266
24	0.5178705851
25	0.5131723064
26	0.5082791124
27	0.5035520231
28	0.4984607435
29	0.493802284
30	0.4893585972
31	0.4847097179
32	0.4801843373
33	0.4756901711
34	0.4714669702
35	0.4683104215
36	0.4647229687
37	0.4610772677
38	0.4571532158
39	0.4537918579
40	0.4503768154
41	0.4470480305
42	0.4439127325
43	0.4405801155
44	0.4376409522
45	0.4340239921
46	0.4309081335
47	0.4278833398
48	0.4253506944
49	0.4225386528
50	0.419674599
51	0.4170281746
52	0.4138791158
53	0.4104581511
54	0.4081791917
55	0.4058456769
56	0.4033434445
57	0.4008701969
58	0.3986463503
59	0.3963280247
60	0.3936679091
61	0.3914717583
62	0.3891520391
63	0.386934533
64	0.3850560297
65	0.3828121168
66	0.380648748
67	0.3793509148
68	0.377024054
69	0.3750664698
70	0.372924944
71	0.3707940089
72	0.3689266536
73	0.3671931437
74	0.3655242223
75	0.3641691861
76	0.3626004223
77	0.3608479957
78	0.3591604712
79	0.3574710654
80	0.3557472055
81	0.3540299646
82	0.3526194324
83	0.3512280608
84	0.3499463573
85	0.3486440301
86	0.3474928625
87	0.3459821727
88	0.3446792184
89	0.3431892569
90	0.3420418517
91	0.3406917624
