iter	Passed	Remaining
0	75	75816
1	78	39136
2	83	27775
3	90	22517
4	97	19409
5	104	17295
6	112	15935
7	120	14923
8	127	14082
9	135	13390
10	142	12770
11	148	12244
12	155	11792
13	161	11408
14	168	11092
15	175	10786
16	182	10544
17	188	10295
18	194	10068
19	201	9876
20	208	9719
21	215	9582
22	222	9443
23	229	9317
24	236	9220
25	242	9098
26	249	8977
27	254	8851
28	261	8744
29	267	8659
30	273	8564
31	281	8500
32	287	8414
33	293	8332
34	299	8255
35	305	8185
36	311	8115
37	317	8049
38	324	7997
39	331	7947
40	337	7890
41	343	7843
42	350	7790
43	356	7742
44	364	7737
45	370	7690
46	377	7660
47	384	7623
48	391	7604
49	398	7579
50	405	7547
51	412	7524
52	419	7494
53	426	7470
54	433	7443
55	440	7430
56	448	7424
57	456	7409
58	464	7405
59	471	7389
60	478	7364
61	484	7336
62	491	7315
63	498	7290
64	505	7267
65	511	7240
66	518	7215
67	522	7164
68	529	7141
69	535	7117
70	542	7092
71	549	7078
72	557	7081
73	564	7065
74	571	7052
75	578	7033
76	585	7021
77	592	7006
78	600	6995
79	606	6979
80	615	6979
81	624	6992
82	631	6980
83	639	6975
84	646	6963
85	655	6961
86	662	6954
87	670	6944
88	682	6981
89	689	6974
90	697	6962
91	705	6958
